date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-04-04,AMGN,67.66,68.15,67.39,67.85,3602368,Event19,[]
2012-04-03,AMGN,68.07,68.27,67.47,67.93,4790069,Event19,-0.117768290888
2012-04-02,AMGN,67.57,68.2,67.12,68.11,4508484,Event19,-0.26427837322
2012-03-30,AMGN,67.66,68.0,67.25,67.97,3861338,Event19,0.205973223481
2012-03-29,AMGN,67.36,67.7,66.96,67.32,3091986,Event19,0.965537730244
2012-03-28,AMGN,67.55,67.97,67.29,67.68,3431652,Event19,-0.531914893617
2012-03-27,AMGN,67.71,68.34,67.64,67.81,5209874,Event19,-0.191712136853
2012-03-26,AMGN,67.28,67.72,67.2,67.52,5048477,Event19,0.429502369668
2012-03-23,AMGN,66.59,67.03,66.42,66.66,3665646,Event19,1.2901290129
2012-03-22,AMGN,66.74,66.85,66.31,66.62,6084983,Event19,0.0600420294206
2012-03-21,AMGN,67.71,67.71,67.02,67.05,4316816,Event19,-0.641312453393
2012-03-20,AMGN,67.83,68.56,67.55,67.58,3316310,Event19,-0.784255696952
2012-03-19,AMGN,67.2,68.3,67.0,68.05,2938647,Event19,-0.69066862601
2012-03-16,AMGN,68.09,68.49,67.35,67.38,8288747,Event19,0.994360344316
2012-03-15,AMGN,68.24,68.3,67.78,68.26,3891140,Event19,-1.2891883973
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2011-02-11,BMS,32.68,33.22,32.61,33.11,747411,Event24,[]
2011-02-10,BMS,33.11,33.32,32.91,33.0,1001287,Event24,0.333333333333
2011-02-09,BMS,32.82,33.24,32.69,33.24,694404,Event24,-0.72202166065
2011-02-08,BMS,32.77,33.0,32.69,32.91,730890,Event24,1.00273473108
2011-02-07,BMS,32.8,33.06,32.35,32.7,798337,Event24,0.642201834862
2011-02-04,BMS,32.49,32.7,32.15,32.68,1724895,Event24,0.0611995104039
2011-02-03,BMS,32.13,32.47,32.0,32.42,2425195,Event24,0.801974090068
2011-02-02,BMS,31.52,32.01,31.31,31.78,2226466,Event24,2.01384518565
2011-02-01,BMS,30.65,32.71,30.13,32.04,2869227,Event24,-0.811485642946
2011-01-31,BMS,32.66,33.17,32.53,32.55,1150916,Event24,-1.5668202765
2011-01-28,BMS,32.9,33.05,32.28,32.37,846446,Event24,0.556070435588
2011-01-27,BMS,32.91,33.12,32.74,32.9,706846,Event24,-1.61094224924
2011-01-26,BMS,32.77,33.03,32.57,32.92,643864,Event24,-0.0607533414338
2011-01-25,BMS,32.54,32.68,32.29,32.65,838411,Event24,0.826952526799
2011-01-24,BMS,32.25,32.67,32.25,32.67,788695,Event24,-0.0612182430364
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2013-02-15,LLY,53.5,54.0,53.5,53.59,5484683,Event3,[]
2013-02-14,LLY,53.22,53.58,53.18,53.5,4278087,Event3,0.168224299065
2013-02-13,LLY,53.4,53.45,53.26,53.44,4384918,Event3,0.112275449102
2013-02-12,LLY,53.74,53.91,53.68,53.8,19666635,Event3,-0.669144981413
2013-02-11,LLY,53.56,54.06,53.48,53.9,18307287,Event3,-0.185528756957
